,Filename,Eint_H2O,original_SMILES,CanonSMILES,Class_label,tail_atom_ids_r1,tail_atom_ids_r2
0,COCCOCC_N,-0.011414,COCCOCC=N,COCCOCC=N,0,"(0, 1)","(2,)"
1,COCCCCC_N,-0.049544,COCCCCC=N,COCCCCC=N,0,"(0, 1)","(2,)"
2,COCCCC_N,-0.022124,COCCCC=N,COCCCC=N,0,"(0, 1)","(2,)"
3,COCC1_CC_C-C_C1-C_N,-0.073524,COCC1=CC=C(C=C1)C=N,COCc1ccc(C=N)cc1,0,"(0, 1)","(2,)"
4,COCC_N,-0.072973,COCC=N,COCC=N,0,"(0, 1)","(2,)"
5,COC1_CC_C-C_C1-OC_N,-0.162754,COC1=CC=C(C=C1)OC=N,COc1ccc(OC=N)cc1,0,"(0, 1)","(2, 3, 4, 5, 9, 10)"
6,COC1_CC_C-C_C1-C_N,-0.109774,COC1=CC=C(C=C1)C=N,COc1ccc(C=N)cc1,0,"(0, 1)","(2, 3, 4, 5, 8, 9)"
7,COC1_CC_C-C_C1-C_CC_N,-0.099824,COC1=CC=C(C=C1)C=CC=N,COc1ccc(C=CC=N)cc1,0,"(0, 1)","(2, 3, 4, 5, 10, 11)"
8,COC_NCC_N,-0.09278,COC=NCC=N,COC=NCC=N,0,"(0, 1)","(2,)"
9,COC_N,-0.091949,COC=N,COC=N,0,"(0, 1)","(2,)"
10,COC_CC_N,-0.073052,COC=CC=N,COC=CC=N,0,"(0, 1)","(2,)"
11,C-N-OC_N,-0.214103,C(N)OC=N,N=COCN,0,"(3, 4)","(2,)"
13,CNNNNCC_N,-0.114984,CNNNNCC=N,CNNNNCC=N,0,"(0, 1)","(2,)"
16,CNCCOCC_N,-0.051204,CNCCOCC=N,CNCCOCC=N,0,"(0, 1)","(2,)"
17,CNCCCCCC_N,-0.072564,CNCCCCCC=N,CNCCCCCC=N,0,"(0, 1)","(2,)"
19,CNCC_N,-0.010919,CNCC=N,CNCC=N,0,"(0, 1)","(2,)"
20,CNC1_CC_C-C_C1-COC_N,-0.067314,CNC1=CC=C(C=C1)COC=N,CNc1ccc(COC=N)cc1,0,"(0, 1)","(2, 3, 4, 5, 10, 11)"
21,CNC1_CC_C-C_C1-C_N,-0.101454,CNC1=CC=C(C=C1)C=N,CNc1ccc(C=N)cc1,0,"(0, 1)","(2, 3, 4, 5, 8, 9)"
22,C-NC-_O-O-OC_N,-0.438175,C(NC(=O)O)OC=N,N=COCNC(=O)O,0,"(5, 6)","(4, 7)"
24,CN_CC_N,-0.153576,CN=CC=N,CN=CC=N,0,"(0, 1)","(2,)"
25,CN_CC_CC_N,-0.123545,CN=CC=CC=N,CN=CC=CC=N,0,"(0, 1)","(2,)"
26,C-CO-NCC_N,-0.215388,C(CO)NCC=N,N=CCNCCO,0,"(5, 6)","(4,)"
27,C-CO-COC_N,-0.191238,C(CO)COC=N,N=COCCCO,0,"(5, 6)","(4,)"
28,CCOCC_N,-0.031413,CCOCC=N,CCOCC=N,0,"(0, 1)","(2,)"
29,CCOC1_CC_C-C_C1-C_N,-0.059594,CCOC1=CC=C(C=C1)C=N,CCOc1ccc(C=N)cc1,0,"(0, 1)","(2,)"
30,CCOC_N,-0.013516,CCOC=N,CCOC=N,0,"(0, 1)","(2,)"
31,C-CNN-C_N,-0.380937,C(CNN)C=N,N=CCCNN,0,"(4, 5)","(3,)"
32,CCNN_CC_N,-0.14752,CCNN=CC=N,CCNN=CC=N,0,"(0, 1)","(2,)"
33,C-CNCCN-C_N,-0.373524,C(CNCCN)C=N,N=CCCNCCN,0,"(6, 7)","(5,)"
34,CCNCCCC_N,-0.036214,CCNCCCC=N,CCNCCCC=N,0,"(0, 1)","(2,)"
35,CCNCCC_N,-0.057094,CCNCCC=N,CCNCCC=N,0,"(0, 1)","(2,)"
36,C-CNCC-_O-O-C_N,-0.381494,C(CNCC(=O)O)C=N,N=CCCNCC(=O)O,0,"(6, 7)","(8, 5)"
38,CCNCC_N,-0.025485,CCNCC=N,CCNCC=N,0,"(0, 1)","(2,)"
39,CCNC1_CC_C-C_C1-C_N,-0.135734,CCNC1=CC=C(C=C1)C=N,CCNc1ccc(C=N)cc1,0,"(0, 1)","(2,)"
40,C-CN-C_N,-0.318575,C(CN)C=N,N=CCCN,0,"(3, 4)","(2,)"
41,C-CN-C_CC_N,-0.273045,C(CN)C=CC=N,N=CC=CCCN,0,"(5, 6)","(4,)"
43,C-CCO-CC_N,-0.196724,C(CCO)CC=N,N=CCCCCO,0,"(5, 6)","(4,)"
44,CCCOCC_N,-0.043834,CCCOCC=N,CCCOCC=N,0,"(0, 1)","(2,)"
45,CCCOC1_CC_C-C_C1-C_N,-0.077624,CCCOC1=CC=C(C=C1)C=N,CCCOc1ccc(C=N)cc1,0,"(0, 1)","(2,)"
46,CCCOC_N,-0.081275,CCCOC=N,CCCOC=N,0,"(0, 1)","(2,)"
47,CCCNCCC_N,-0.030194,CCCNCCC=N,CCCNCCC=N,0,"(0, 1)","(2,)"
48,CCCNCC_N,-0.093624,CCCNCC=N,CCCNCC=N,0,"(0, 1)","(2,)"
49,CCCN_CC_N,-0.059747,CCCN=CC=N,CCCN=CC=N,0,"(0, 1)","(2,)"
